Name,DNS Provider,Expiration Date,Internal DNS Controls,Managed By,Notes,Registrar Account,Registration Platform,📇 Agency Partner,🕸️ Site,🧑‍🚀 Client
hvacmarketingleaders.com,Cloudflare,,,Indelible,,,Cloudflare,Nerd Herd (https://www.notion.so/Nerd-Herd-1bee607ad42480919b1fee42f6d797d2?pvs=21),hvacmarketingleaders.com (https://www.notion.so/hvacmarketingleaders-com-1e4e607ad42480b3b7e2ff3a39a6db7c?pvs=21),Nerd Herd (https://www.notion.so/Nerd-Herd-1c8e607ad42480a295cbcca27ea0e26f?pvs=21)
thermalnetics.com,,,,,,,,,thermalnetics.com (https://www.notion.so/thermalnetics-com-1e4e607ad4248038bd84d36bd12ac765?pvs=21),
mntitlesolutions.com,GoDaddy,,,Client,,,GoDaddy,Nerd Herd (https://www.notion.so/Nerd-Herd-1bee607ad42480919b1fee42f6d797d2?pvs=21),mntitlesolutions.com (https://www.notion.so/mntitlesolutions-com-1c8e607ad4248007b31fef3b5b935a2a?pvs=21),MN Title Solutions (https://www.notion.so/MN-Title-Solutions-1e5e607ad424808cab77c0df74fbbae1?pvs=21)
calvarylovesspringfield.com,Cloudflare,,,Indelible,,,GoDaddy,,calvarylovesspringfield.com (https://www.notion.so/calvarylovesspringfield-com-1e8e607ad4248084b23bcc8c78a46b85?pvs=21),
emporium.thevermontstandard.com,Cloudflare,,,Indelible,,,,,Emporium (https://www.notion.so/Emporium-1ece607ad42480ef967bcd820d415c74?pvs=21),
wildbeautyfoundation.org,Cloudflare,"June 9, 2026",,Indelible,,Indelible,GoDaddy,,wildbeautyfoundation.org (https://www.notion.so/wildbeautyfoundation-org-1ede607ad4248043963cfa70c21748f9?pvs=21),Wild Beauty Foundation (https://www.notion.so/Wild-Beauty-Foundation-1ede607ad424803b91c6ff58b5ae4c52?pvs=21)
mikelynnfilm.com,,,,,,,,,mikelynnfilm.com (https://www.notion.so/mikelynnfilm-com-1f7e607ad42480839d86d35f9d2f30e6?pvs=21),
herbapumps.com,Cloudflare,,,Indelible,,Client,GoDaddy,,herbapumps.com (https://www.notion.so/herbapumps-com-999d6f03259541ff8a48e07f7326f0ad?pvs=21),
bethanybaptist.org,Cloudflare,,,Indelible,,Client,,,bethanycentral.org (https://www.notion.so/bethanycentral-org-200e607ad424809fbf95faab07381ff9?pvs=21),
knowingchrist.org,Cloudflare,,,Indelible,,Client,,,knowingchrist.org (https://www.notion.so/knowingchrist-org-200e607ad42480dea076fcfff2b28229?pvs=21),
https://dash.cloudflare.com/837a694aa534ca841f0eb2a8fb59bf8a/knowingchristministries.org,Cloudflare,,,Indelible,,Client,,,knowingchrist.org (https://www.notion.so/knowingchrist-org-200e607ad42480dea076fcfff2b28229?pvs=21),
globeleenergy.com,,,,Client,,,,,globeleenergy.com (https://www.notion.so/globeleenergy-com-202e607ad424809d96e0c0d73c60ee99?pvs=21),
vtparentchildnetwork.org,Cloudflare,,,Indelible,,,,,vtparentchildcenternetwork.org (https://www.notion.so/vtparentchildcenternetwork-org-1a6e607ad42480919f8acd1469eebeaa?pvs=21),
http://vpccn.org/,vpccn.org,,,Indelible,,,,,vtparentchildcenternetwork.org (https://www.notion.so/vtparentchildcenternetwork-org-1a6e607ad42480919f8acd1469eebeaa?pvs=21),
mitchsmaples.com,Cloudflare,,,Indelible,,,,,mitchsmaples.com (https://www.notion.so/mitchsmaples-com-205e607ad42480318872c9e0215a7bc9?pvs=21),
blackriveractionteam.org,Cloudflare,"July 22, 2026",,Indelible,,,,,,
spritelees.tempurl.host,,,,,,,,,spritelees.com (https://www.notion.so/spritelees-com-200e607ad424806fa4d2c040960f7e0c?pvs=21),
grokoftherok.tempurl.host,,,,,,,,,grokoftherock (https://www.notion.so/grokoftherock-268e607ad424805db88ed3a080e79151?pvs=21),
